iter	MAE
0	6.420877092
1	6.418223182
2	6.415623885
3	6.41321106
4	6.410906594
5	6.408719929
6	6.406647759
7	6.404727939
8	6.40291646
9	6.40116964
10	6.399518955
11	6.397950044
12	6.396485801
13	6.395065079
14	6.393732313
15	6.39246135
16	6.3912526
17	6.390142281
18	6.389005174
19	6.38792141
20	6.386933208
21	6.385880917
22	6.385002795
23	6.384131042
24	6.383300985
25	6.382493063
26	6.381708027
27	6.380998081
28	6.380317842
29	6.379674961
30	6.379008331
31	6.378429804
32	6.377847604
33	6.377299102
34	6.376591173
35	6.376054462
36	6.375543191
37	6.375066259
38	6.37461629
39	6.3741402
40	6.373712798
41	6.373253196
42	6.37280913
43	6.372277069
44	6.371920138
45	6.371494112
46	6.371167693
47	6.3707853
48	6.370463263
49	6.370152374
50	6.369831707
51	6.369484223
52	6.369060205
53	6.36879271
54	6.368559707
55	6.368299661
56	6.367800846
57	6.367446127
58	6.3671308
59	6.366685927
60	6.366284391
61	6.366065581
62	6.365813027
63	6.365416647
64	6.365201688
65	6.365001914
66	6.364679469
67	6.364364832
68	6.364140113
69	6.363878212
70	6.363550695
71	6.363314722
72	6.363092942
73	6.362931912
74	6.36269439
75	6.362345631
76	6.362137302
77	6.361933864
78	6.361520062
79	6.361359313
80	6.361151932
81	6.360893895
82	6.36062592
83	6.360334228
84	6.360187025
85	6.360043268
86	6.359911691
87	6.35977526
88	6.359459164
89	6.359308817
90	6.359099864
91	6.35876123
92	6.358591156
93	6.358303186
94	6.358150958
95	6.358007836
96	6.357849695
97	6.357743999
98	6.357583617
99	6.357447621
100	6.357187814
101	6.356954144
102	6.356691104
103	6.356578896
104	6.356354004
105	6.356210051
106	6.356099453
107	6.355853577
108	6.355641738
109	6.355472213
110	6.355219633
111	6.355063983
112	6.354893078
113	6.354761752
114	6.354497366
115	6.354409349
116	6.354239365
117	6.354098237
118	6.353878635
119	6.35372977
120	6.353640018
121	6.353421324
122	6.353329932
123	6.353124777
124	6.352947105
125	6.352836583
126	6.352649609
127	6.352538879
128	6.352401239
129	6.352188411
130	6.352078736
131	6.352002132
132	6.351766721
133	6.351578767
134	6.351309559
135	6.351245755
136	6.351156729
137	6.35103545
138	6.350870433
139	6.35059193
140	6.350495859
141	6.350260706
142	6.350048339
143	6.349882727
144	6.349669595
145	6.349524274
146	6.349384632
147	6.349143887
148	6.348981755
149	6.348779235
150	6.348632997
151	6.348469242
152	6.348401374
153	6.348227767
154	6.348110286
155	6.347979959
156	6.347814987
157	6.347745141
158	6.347618955
159	6.347478558
160	6.347320074
161	6.347260749
162	6.34720905
163	6.347109317
164	6.346969001
165	6.346837045
166	6.346763071
167	6.346581172
168	6.346392719
169	6.34620317
170	6.346051568
171	6.345937574
172	6.345794704
173	6.34567388
174	6.34557229
175	6.345381577
176	6.345284842
177	6.345153742
178	6.345050884
179	6.344959069
180	6.344801364
181	6.344687528
182	6.344589704
183	6.344470447
184	6.344379597
185	6.344230268
186	6.344094336
187	6.343941963
188	6.343876483
189	6.343725455
190	6.343610426
191	6.343549314
192	6.343419576
193	6.34324944
194	6.343120178
195	6.343037774
196	6.342965037
197	6.342898959
198	6.342812471
199	6.342699453
200	6.342610058
201	6.342467015
202	6.342348383
203	6.342268393
204	6.342092098
205	6.342029431
206	6.341894316
207	6.341709834
208	6.341608059
209	6.341477322
210	6.341359642
211	6.34129564
212	6.341134002
213	6.341053733
214	6.340971645
215	6.340884906
216	6.340835922
217	6.340789639
218	6.34064796
219	6.340567833
220	6.340482837
221	6.340381503
222	6.340267408
223	6.340208119
224	6.340143843
225	6.340009932
226	6.339895614
227	6.339783376
228	6.339648282
229	6.339502894
230	6.339377752
231	6.339329812
232	6.339216912
233	6.339113685
234	6.339020272
235	6.338904129
236	6.3388502
237	6.338773274
238	6.338700503
239	6.33859756
240	6.338469894
241	6.338412381
242	6.33834019
243	6.338215556
244	6.338179954
245	6.33811688
246	6.337996199
247	6.337905478
248	6.337798984
249	6.337704175
250	6.337598629
251	6.337507958
252	6.337434383
253	6.337364995
254	6.337247889
255	6.337193294
256	6.337070817
257	6.336972803
258	6.336872835
259	6.336747771
260	6.336684514
261	6.33661439
262	6.336491748
263	6.336395587
264	6.336295807
265	6.336187121
266	6.336125169
267	6.336048759
268	6.335996962
269	6.335940754
270	6.33589443
271	6.335853679
272	6.335778566
273	6.335709309
274	6.335639335
275	6.335533243
276	6.33546519
277	6.335385504
278	6.335320821
279	6.335280208
280	6.33517397
281	6.335127567
282	6.335038896
283	6.334981698
284	6.334826126
285	6.334733174
286	6.334639871
287	6.334591348
288	6.334501431
289	6.334422173
290	6.334377933
291	6.334344031
292	6.334199922
293	6.334149412
294	6.334056442
295	6.334010492
296	6.333945664
297	6.333901388
298	6.333830994
299	6.33371929
300	6.33366567
301	6.333609115
302	6.333512997
303	6.333404579
304	6.333335652
305	6.333223136
306	6.333153414
307	6.333080911
308	6.332987388
309	6.332949185
310	6.332905372
311	6.332858973
312	6.332781414
313	6.33265569
314	6.332558248
315	6.332487103
316	6.332378197
317	6.332293753
318	6.332216637
319	6.332121544
320	6.332025184
321	6.331905316
322	6.331841549
323	6.331816183
324	6.331712328
325	6.331635653
326	6.33153643
327	6.331496589
328	6.331393437
329	6.331353533
330	6.331252496
331	6.331159105
332	6.331064483
333	6.33093934
334	6.330889546
335	6.330812201
336	6.330685155
337	6.330647877
338	6.330557646
339	6.330484318
340	6.330405321
341	6.330302721
342	6.33026783
343	6.330149119
344	6.330061053
345	6.330006386
346	6.329915825
347	6.329883959
348	6.329832438
349	6.329758074
350	6.329704378
351	6.329630443
352	6.329540323
353	6.32945776
354	6.32939246
355	6.329293743
356	6.329248669
357	6.329212487
358	6.329092279
359	6.32897535
360	6.328905946
361	6.328838641
362	6.328736285
363	6.328689721
364	6.32866348
365	6.32859303
366	6.328541112
367	6.328493206
368	6.328396543
369	6.328334328
370	6.328274323
371	6.328232763
372	6.328161336
373	6.328106734
374	6.328070517
375	6.328018566
376	6.327984175
377	6.327931764
378	6.327890657
379	6.327837326
380	6.327749705
381	6.327718436
382	6.327686418
383	6.327606023
384	6.327529574
385	6.327481033
386	6.327409008
387	6.327364316
388	6.327275045
389	6.327216598
390	6.327121938
391	6.327046551
392	6.326982265
393	6.326897543
394	6.326844867
395	6.326771186
396	6.326722657
397	6.326648125
398	6.32658883
399	6.32650003
400	6.326449066
401	6.326409343
402	6.326336927
403	6.326317705
404	6.32627406
405	6.32619835
406	6.326128322
407	6.326080884
408	6.326007671
409	6.325892687
410	6.325838974
411	6.32577518
412	6.325727018
413	6.325678949
414	6.32563219
415	6.32552046
416	6.325451886
417	6.325373677
418	6.325314958
419	6.325230691
420	6.325174506
421	6.325125102
422	6.32508285
423	6.325019082
424	6.324924994
425	6.324871752
426	6.324819202
427	6.32477927
428	6.32473714
429	6.324627604
430	6.324537804
431	6.324496671
432	6.324443182
433	6.324385189
434	6.324333011
435	6.32427528
436	6.32418324
437	6.324106922
438	6.324048053
439	6.324023779
440	6.323986222
441	6.323952246
442	6.323893916
443	6.323808008
444	6.323707621
445	6.323640662
446	6.32359584
447	6.323541321
448	6.32348364
449	6.323456639
450	6.323396694
451	6.323337043
452	6.323253102
453	6.323160036
454	6.32310966
455	6.323063853
456	6.32300623
457	6.322972216
458	6.322905091
459	6.322809369
460	6.322754018
461	6.322676146
462	6.322589807
463	6.32251627
464	6.322485082
465	6.322427302
466	6.322387421
467	6.322321839
468	6.322271077
469	6.322182878
470	6.32213793
471	6.32209069
472	6.322025461
473	6.321982706
474	6.321906367
475	6.321887202
476	6.321855765
477	6.321809344
478	6.321763197
479	6.321718251
480	6.321675838
481	6.321606236
482	6.321563763
483	6.321504441
484	6.321460702
485	6.321423429
486	6.321398196
487	6.321339793
488	6.321286082
489	6.321229826
490	6.321186743
491	6.321147338
492	6.321109865
493	6.321066063
494	6.321009309
495	6.320964466
496	6.320906482
497	6.320823763
498	6.320748503
499	6.320706417
500	6.320660398
501	6.320619692
502	6.320542388
503	6.320503564
504	6.320468997
505	6.320406257
506	6.320330846
507	6.320233221
508	6.320197175
509	6.320132756
510	6.32009434
511	6.320040753
512	6.319958608
513	6.319889691
514	6.319844633
515	6.319794123
516	6.31973847
517	6.319692405
518	6.319625352
519	6.319584192
520	6.31955035
521	6.319474378
522	6.319442487
523	6.319403372
524	6.319327449
525	6.319269306
526	6.319243087
527	6.319198747
528	6.319134919
529	6.319095243
530	6.319055463
531	6.318984598
532	6.31894449
533	6.318865733
534	6.318780053
535	6.318709307
536	6.318647556
537	6.31860097
538	6.318544796
539	6.318507528
540	6.318468061
541	6.318410377
542	6.318375015
543	6.318317152
544	6.318282546
545	6.318250633
546	6.318206014
547	6.318143114
548	6.318106237
549	6.318053665
550	6.317984214
551	6.317957731
552	6.317889351
553	6.317863183
554	6.317812801
555	6.317791297
556	6.317728042
557	6.31767101
558	6.317615574
559	6.317565013
560	6.317528473
561	6.317463448
562	6.317393419
563	6.317338895
564	6.317312418
565	6.317278478
566	6.317201414
567	6.317133129
568	6.317083202
569	6.317028853
570	6.316985053
571	6.316942507
572	6.316882454
573	6.316816797
574	6.316782391
575	6.316749171
576	6.316665328
577	6.316630559
578	6.316604452
579	6.31655003
580	6.316523638
581	6.3164512
582	6.316409147
583	6.316349483
584	6.316283131
585	6.316246808
586	6.316212936
587	6.316171746
588	6.316094632
589	6.316025147
590	6.315940188
591	6.315883825
592	6.315852155
593	6.31580678
594	6.315723852
595	6.31567365
596	6.315636314
597	6.315574598
598	6.315517281
599	6.315463871
600	6.315414166
601	6.31538308
602	6.31536169
603	6.31531718
604	6.315286902
605	6.315255299
606	6.315174453
607	6.315099588
608	6.315058958
609	6.315028572
610	6.314964306
611	6.314903846
612	6.314857872
613	6.314800369
614	6.314742078
615	6.314690656
616	6.314636654
617	6.314559217
618	6.314538247
619	6.314501142
620	6.31442501
621	6.314394322
622	6.314332271
623	6.314285043
624	6.314210231
625	6.314152946
626	6.314106984
627	6.314061509
628	6.314026482
629	6.313991035
630	6.313950849
631	6.313877791
632	6.313799431
633	6.313725107
634	6.313666009
635	6.313615547
636	6.313587601
637	6.313538747
638	6.313503795
639	6.313451566
640	6.313401042
641	6.313363606
642	6.313289559
643	6.313245778
644	6.313181439
645	6.313110061
646	6.313079457
647	6.313009738
648	6.312979534
649	6.312931051
650	6.312870618
651	6.312845594
652	6.312802869
653	6.312755222
654	6.312699627
655	6.312637893
656	6.312570516
657	6.31253167
658	6.312501985
659	6.3124579
660	6.312418032
661	6.312393498
662	6.312334116
663	6.312267534
664	6.312209017
665	6.312152986
666	6.312099772
667	6.312039107
668	6.311972323
669	6.311895316
670	6.311842718
671	6.311811662
672	6.311737954
673	6.311708823
674	6.311683187
675	6.311618039
676	6.311577284
677	6.311551057
678	6.311525646
679	6.311475292
680	6.311447251
681	6.311416112
682	6.31133879
683	6.311310267
684	6.311255528
685	6.311209356
686	6.311172498
687	6.311140871
688	6.311091723
689	6.311069352
690	6.311030531
691	6.310973226
692	6.310908523
693	6.310865128
694	6.310831611
695	6.310791457
696	6.310749099
697	6.310711674
698	6.310661984
699	6.310615851
700	6.310580156
701	6.310532631
702	6.310503089
703	6.310447297
704	6.310406616
705	6.310368655
706	6.31033995
707	6.310269928
708	6.310192628
709	6.310131879
710	6.310096997
711	6.310062085
712	6.310023711
713	6.3099789
714	6.309935397
715	6.309864871
716	6.309827332
717	6.309781477
718	6.309736126
719	6.309694985
720	6.309638448
721	6.30959523
722	6.30956644
723	6.30953951
724	6.309501419
725	6.309468779
726	6.309422251
727	6.309384469
728	6.309339454
729	6.309301755
730	6.30925147
731	6.309177312
732	6.309144425
733	6.309118598
734	6.309075504
735	6.309053889
736	6.308999909
737	6.308950299
738	6.308906978
739	6.308841543
740	6.308819705
741	6.308798647
742	6.308757173
743	6.308710548
744	6.308666951
745	6.308605027
746	6.308560702
747	6.308519068
748	6.308470606
749	6.308419258
750	6.308382362
751	6.308355595
752	6.308300531
753	6.308266057
754	6.308239375
755	6.308161901
756	6.308115527
757	6.30806801
758	6.308025438
759	6.307984447
760	6.307953088
761	6.307891594
762	6.307852937
763	6.307810777
764	6.307764399
765	6.307727059
766	6.307691148
767	6.307674908
768	6.307639827
769	6.307589722
770	6.307556165
771	6.307529883
772	6.307484008
773	6.307437522
774	6.307407987
775	6.307378119
776	6.307324041
777	6.307288185
778	6.30723718
779	6.307201799
780	6.307145947
781	6.307114132
782	6.307057906
783	6.307018707
784	6.307001733
785	6.306966377
786	6.306927005
787	6.306888598
788	6.30686004
789	6.30681804
790	6.306796445
791	6.306762389
792	6.306722972
793	6.306696253
794	6.306629909
795	6.30659735
796	6.306552326
797	6.306504501
798	6.306473962
799	6.306448014
800	6.306413125
801	6.306357243
802	6.306305424
803	6.306253337
804	6.306214672
805	6.306178997
806	6.306139467
807	6.30610591
808	6.306068202
809	6.306009881
810	6.305963017
811	6.305940942
812	6.305911578
813	6.305877082
814	6.3058565
815	6.305821065
816	6.305794722
817	6.305764815
818	6.305709876
819	6.305688376
820	6.305631127
821	6.305578427
822	6.305537821
823	6.305509891
824	6.305484788
825	6.305452832
826	6.305411741
827	6.305388335
828	6.305361013
829	6.305305528
830	6.305266563
831	6.305230772
832	6.305188516
833	6.3051327
834	6.30508207
835	6.305035616
836	6.304997365
837	6.304943359
838	6.304911699
839	6.304887986
840	6.304849681
841	6.304818205
842	6.304789733
843	6.304760051
844	6.304721811
845	6.304671048
846	6.304643775
847	6.304615187
848	6.304560686
849	6.304528928
850	6.304477371
851	6.304430758
852	6.304389023
853	6.304347242
854	6.304303893
855	6.304264534
856	6.304215582
857	6.304184376
858	6.304162983
859	6.304127509
860	6.304081005
861	6.304035874
862	6.304006491
863	6.303962689
864	6.30392892
865	6.303892978
866	6.303857541
867	6.30380879
868	6.303764077
869	6.303725516
870	6.303673852
871	6.303638729
872	6.303590285
873	6.303532059
874	6.303479502
875	6.303441097
876	6.303409209
877	6.303363803
878	6.30333905
879	6.303311715
880	6.303287158
881	6.303240484
882	6.303216065
883	6.30318714
884	6.303151982
885	6.30310334
886	6.303080303
887	6.303027408
888	6.302970851
889	6.302940221
890	6.302917811
891	6.302887385
892	6.302850201
893	6.302818607
894	6.302797537
895	6.302769754
896	6.30272676
897	6.302688149
898	6.302642101
899	6.302619309
900	6.30259757
901	6.302563528
902	6.30251321
903	6.302482033
904	6.302437628
905	6.302415983
906	6.302381836
907	6.302357537
908	6.302315893
909	6.302289891
910	6.302249754
911	6.302223547
912	6.302173005
913	6.302129147
914	6.302084569
915	6.302033143
916	6.301986747
917	6.301948442
918	6.301918562
919	6.301890951
920	6.30185605
921	6.301822826
922	6.301805362
923	6.301770619
924	6.301700553
925	6.301658197
926	6.301632718
927	6.301613162
928	6.301583833
929	6.301549053
930	6.301521
931	6.301489492
932	6.301442638
933	6.301404023
934	6.301375646
935	6.301338272
936	6.301298391
937	6.301264295
938	6.30122715
939	6.301188766
940	6.301166991
941	6.301146462
942	6.301101886
943	6.301075888
944	6.301043286
945	6.301014644
946	6.300981839
947	6.300947592
948	6.300908065
949	6.300865606
950	6.300831956
951	6.300803932
952	6.3007731
953	6.300737194
954	6.300705296
955	6.300666988
956	6.300644866
957	6.300602487
958	6.300584413
959	6.300541651
960	6.300513904
961	6.300492953
962	6.300452941
963	6.300412223
964	6.300369158
965	6.300338817
966	6.300309607
967	6.300266048
968	6.300225929
969	6.300176996
970	6.300157116
971	6.300131411
972	6.300083642
973	6.30005154
974	6.300027796
975	6.299990897
976	6.299952595
977	6.299908405
978	6.299888893
979	6.299859288
980	6.299834239
981	6.299813881
982	6.299774627
983	6.299744889
984	6.299712219
985	6.299671149
986	6.299628322
987	6.299599821
988	6.299579268
989	6.299550122
990	6.299508955
991	6.299480881
992	6.299446324
993	6.299419072
994	6.299387425
995	6.299343343
996	6.299318306
997	6.299294702
998	6.299250718
999	6.299209638
1000	6.29918067
1001	6.299151188
1002	6.299125351
1003	6.299083843
1004	6.2990521
1005	6.299019313
1006	6.298990708
1007	6.298966976
1008	6.298946865
1009	6.298925304
1010	6.298903507
1011	6.298878231
1012	6.298835153
1013	6.298798276
1014	6.298742034
1015	6.298714319
1016	6.298671085
1017	6.298650623
1018	6.298607149
1019	6.298583763
1020	6.298549573
1021	6.298522863
1022	6.298496133
1023	6.298460072
1024	6.298402885
1025	6.298368314
1026	6.298345122
1027	6.298312625
1028	6.298274994
1029	6.298236215
1030	6.29818124
1031	6.298149923
1032	6.298104859
1033	6.298075858
1034	6.298035374
1035	6.298000163
1036	6.297956605
1037	6.297932278
1038	6.297906742
1039	6.297883163
1040	6.297860989
1041	6.297829251
1042	6.29777992
1043	6.297747962
1044	6.297706512
1045	6.297672413
1046	6.297639152
1047	6.297610572
1048	6.297592207
1049	6.297576825
1050	6.297535036
1051	6.297504216
1052	6.297475961
1053	6.297436571
1054	6.297409719
1055	6.297385992
1056	6.297343956
1057	6.297309341
