iter	Passed	Remaining
0	145	437522
1	285	428372
2	430	430087
3	573	429846
4	720	431551
5	865	432067
6	1012	433055
7	1152	431185
8	1293	429973
9	1441	430968
10	1584	430468
11	1728	430429
12	1869	429585
13	2010	428762
14	2151	428151
15	2289	427065
16	2432	426888
17	2573	426340
18	2712	425558
19	2851	424843
20	2990	424266
21	3130	423747
22	3275	423959
23	3415	423567
24	3554	422971
25	3694	422548
26	3832	421968
27	3971	421550
28	4111	421199
29	4250	420763
30	4389	420383
31	4529	420116
32	4669	419790
33	4807	419388
34	4951	419482
35	5089	419016
36	5233	419099
37	5375	418985
38	5516	418827
39	5657	418660
40	5800	418622
41	5941	418463
42	6085	418473
43	6226	418321
44	6368	418188
45	6511	418122
46	6652	417984
47	6800	418241
48	6941	418075
49	7081	417787
50	7220	417496
51	7357	417114
52	7495	416752
53	7635	416581
54	7779	416540
55	7921	416460
56	8066	416477
57	8208	416347
58	8352	416326
59	8498	416448
60	8643	416451
61	8782	416177
62	8921	415929
63	9063	415806
64	9203	415591
65	9344	415389
66	9482	415125
67	9622	414908
68	9754	414342
69	9889	413946
70	10033	413921
71	10172	413671
72	10310	413415
73	10450	413198
74	10588	412966
75	10733	412957
76	10876	412883
77	11017	412721
78	11164	412820
79	11304	412611
80	11441	412321
81	11575	411926
82	11716	411760
83	11863	411845
84	12005	411722
85	12144	411496
86	12284	411310
87	12427	411244
88	12574	411283
89	12711	410994
90	12848	410712
91	12994	410750
92	13135	410602
93	13275	410403
94	13417	410280
95	13559	410164
96	13697	409927
97	13834	409675
98	13972	409432
99	14108	409157
100	14246	408906
101	14388	408804
102	14529	408653
103	14677	408712
104	14821	408653
105	14956	408349
106	15095	408143
107	15238	408054
108	15378	407892
109	15514	407607
110	15658	407550
111	15798	407365
112	15932	407049
113	16069	406803
114	16215	406807
115	16355	406638
116	16494	406450
117	16631	406207
118	16774	406112
119	16905	405727
120	17043	405532
121	17183	405352
122	17325	405241
123	17471	405215
124	17608	405006
125	17750	404874
126	17892	404767
127	18032	404602
128	18173	404458
129	18314	404335
130	18451	404093
131	18588	403873
132	18729	403750
133	18873	403667
134	19014	403537
135	19151	403300
136	19289	403116
137	19428	402926
138	19564	402699
139	19719	402835
140	19860	402711
141	20007	402694
142	20151	402608
143	20294	402501
144	20440	402458
145	20580	402301
146	20719	402135
147	20870	402184
148	21013	402075
149	21159	402031
150	21295	401797
151	21435	401628
152	21572	401409
153	21717	401347
154	21846	400991
155	21980	400720
156	22133	400791
157	22264	400484
158	22406	400355
159	22555	400356
160	22698	400246
161	22833	400011
162	22974	399865
163	23109	399632
