,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
97,100,0,0,0.0,0,1.000209,80691.87,,,0.999839,4807.78,1.000209,6241.62,1.0,-5.2297115,0,0_0_100
288,100,0,10,0.0,0,1.000579,80691.87,,,0.999839,1566.58,1.000579,2730.03,1.000109,-3.0201674,1,0_10_100
479,100,0,20,0.0,0,1.000579,80691.87,,,0.999839,1566.58,1.000579,2730.03,1.000109,3.0505657,2,0_20_100
670,100,0,30,0.0,0,1.000579,80691.87,,,0.999839,16422.08,1.000579,5433.03,1.000395,6.649494,3,0_30_100
861,100,0,40,0.0,0,1.000579,80691.87,,,1.000209,1702.26,1.000579,5433.03,1.000297,26.320219,4,0_40_100
1052,100,0,50,0.0,0,1.000579,80691.87,,,1.000209,1702.26,1.000579,10839.03,1.000259,28.43976,5,0_50_100
1243,100,0,60,0.0,0,1.000579,80691.87,,,1.000209,1702.26,1.000579,5433.03,1.000297,29.560328,6,0_60_100
1434,100,0,70,0.0,0,1.000579,80691.87,,,1.000209,1702.26,1.000579,5433.03,1.000297,31.490326,7,0_70_100
1625,100,0,80,0.0,0,1.000579,80691.87,,,1.000209,1702.26,1.000579,5433.03,1.000297,27.099848,8,0_80_100
1816,100,0,90,0.0,0,1.000949,80691.87,,,1.000579,8109.0,1.000949,2704.0,1.000857,26.769638,9,0_90_100
2007,100,0,100,0.0,0,1.0028,80691.87,,,1.00206,11071.63,1.0028,5418.0,1.002557,7.940531,10,0_100_100
2198,100,0,110,0.0,0,1.0028,80691.87,,,1.00243,8124.0,1.0028,5418.0,1.002652,4.5204163,11,0_110_100
2389,100,0,120,0.0,0,1.0028,80691.87,,,1.00243,8124.0,1.0028,5418.0,1.002652,3.5703182,12,0_120_100
2580,100,0,130,0.0,0,1.0028,80691.87,,,1.00243,16248.0,1.0028,2709.0,1.002747,2.3698807,13,0_130_100
2771,100,0,140,0.0,0,1.0028,80691.87,,,1.00243,10832.0,1.0028,2709.0,1.002726,2.8896332,14,0_140_100
2962,100,0,150,0.0,0,1.003541,80691.87,,,1.00243,14189.92,1.003541,3307.42,1.003331,-2.3299456,15,0_150_100
3153,100,0,160,0.0,0,1.003541,80691.87,,,1.00243,8124.0,1.003541,11440.42,1.002892,-2.1100044,16,0_160_100
3344,100,0,170,0.0,0,1.0028,80691.87,,,1.00243,2708.0,1.0028,5418.0,1.002554,9.740591,17,0_170_100
3535,100,0,180,0.0,0,1.0028,164193.23,,,1.00243,5416.0,1.0028,10836.0,1.002554,9.36985,18,0_180_100
