,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
2053889,135,191,0,1311786.88,1,0.998198,1467610.33,,,0.999603,18499.0,1.000305,14240.0,1.0,23.020506,10505,191_0_135
2054088,135,191,10,1310833.09,1,1.000305,1467610.33,,,0.999603,53704.02,1.000305,16774.72,1.000138,27.409792,10506,191_10_135
2054287,135,191,20,1308925.51,1,1.003115,1467610.33,,,1.002413,33577.31,1.003115,12852.0,1.002921,23.789406,10507,191_20_135
2054486,135,191,30,1307971.72,1,1.00452,1467610.33,,,1.003818,25121.82,1.00452,62162.1,1.00402,11.769533,10508,191_30_135
2054685,135,191,40,1300369.88,1,1.00733,1467610.33,,,1.006628,66777.8,1.00733,2021.94,1.007309,-19.40012,10509,191_40_135
2054884,135,191,50,1292269.8,1,1.008735,1467638.8,,,1.008032,3960.6,1.008735,20104.0,1.008148,-25.24972,10510,191_50_135
2055083,135,191,60,1292269.8,1,1.009437,1467638.8,,,1.008735,34578.88,1.009437,20118.0,1.009179,-28.780102,10511,191_60_135
2055282,135,191,70,1292540.27,1,1.009437,1467638.8,,,1.008735,54769.04,1.009437,21871.14,1.009237,-22.950172,10512,191_70_135
2055481,135,191,80,1291586.49,1,1.01014,1467638.8,,,1.009437,13277.88,1.01014,67701.04,1.009553,-36.110283,10513,191_80_135
2055680,135,191,90,1300611.89,1,1.008032,1467638.8,,,1.00733,2954.04,1.008032,50985.55,1.007369,-14.14001,10514,191_90_135
2055879,135,191,100,1301594.15,1,1.006628,1467610.33,,,1.005925,50191.6,1.006628,18643.33,1.006437,-0.93996525,10515,191_100_135
2056078,135,191,110,1296697.09,1,1.005925,1472507.39,,,1.005223,10088.55,1.005925,71671.6,1.005309,5.0497055,10516,191_110_135
2056277,135,191,120,1273450.27,1,1.005223,1502402.26,,,1.00452,26040.3,1.005223,44504.1,1.00478,-16.390085,10517,191_120_135
2056476,135,191,130,1273450.27,1,1.005223,1502402.26,,,1.00452,27470.3,1.005223,43788.6,1.004791,-5.3697824,10518,191_130_135
2056675,135,191,140,1273450.27,1,1.005223,1502402.26,,,1.00452,24124.1,1.005223,18087.84,1.004922,-10.970235,10519,191_140_135
2056874,135,191,150,1266802.22,1,1.005925,1502402.26,,,1.005223,58241.7,1.005925,45065.04,1.005619,-29.789806,10520,191_150_135
2057073,135,191,160,1266802.22,1,1.005925,1502402.26,,,1.005223,86761.53,1.005925,42301.28,1.005695,-29.019714,10521,191_160_135
2057272,135,191,170,1266802.22,1,1.005925,1502402.26,,,1.005223,60946.29,1.005925,65657.2,1.005561,-31.54993,10522,191_170_135
2057471,135,191,180,1451908.4,1,1.002413,1503227.93,,,1.002413,12843.0,1.003115,20177.64,1.002686,14.419556,10523,191_180_135
2057670,135,191,190,1450954.61,1,1.003818,1503227.93,,,1.003115,14694.12,1.003818,38154.3,1.003311,9.059906,10524,191_190_135
2057869,135,191,200,1451908.4,1,1.00171,1503227.93,,,1.001008,8820.75,1.00171,43022.42,1.001127,26.119947,10525,191_200_135
2058068,135,191,210,1452862.19,1,1.000657,1503227.93,,,1.000305,5866.88,1.001008,47039.25,1.000383,38.15055,10526,191_210_135
2058267,135,191,220,1452862.19,1,1.000305,1503227.93,,,0.999603,34336.99,1.000305,49427.04,0.999891,65.729614,10527,191_220_135
2058466,135,191,230,1452862.19,1,1.000305,1503227.93,,,0.999603,8680.3,1.000305,50309.92,0.999706,38.29956,10528,191_230_135
2058665,135,191,240,1454072.22,1,1.003115,1505818.82,,,1.002413,3153.67,1.003115,37128.0,1.002468,36.12995,10529,191_240_135
2058864,135,191,250,1446954.39,1,1.003115,1512936.64,,,1.002413,52941.7,1.003115,21320.04,1.002914,30.930042,10530,191_250_135
2059063,135,191,260,1446954.39,1,1.003818,1512936.64,,,1.003115,58890.72,1.003818,24293.0,1.003613,20.94984,10531,191_260_135
2059262,135,191,270,1439395.26,1,1.005223,1554789.46,,,1.00452,284555.7,1.005223,103189.41,1.005036,7.2598457,10532,191_270_135
2059461,135,191,280,1568341.8,1,1.005223,1753063.62,,,1.006628,13656.49,1.00733,28680.0,1.006854,-25.050045,10533,191_280_135
2059660,135,191,290,1653955.01,1,1.003115,1755042.38,,,1.003115,6054.72,1.003818,22306.69,1.003265,2.5200844,10534,191_290_135
2059859,135,191,300,2311998.03,1,1.005223,2530572.24,,1.103567,1.005925,15064.64,1.006628,4972.51,1.006453,-15.900135,10535,191_300_135
2060058,135,191,310,2192689.03,1,1.00733,2642279.4,,1.103567,1.006628,10116.98,1.00733,73894.02,1.006712,-22.829771,10536,191_310_135
2060257,135,191,320,2191265.47,1,1.00733,2643702.97,,1.103567,1.006628,43075.98,1.00733,106804.32,1.00683,-16.649961,10537,191_320_135
2060456,135,191,330,2185101.43,1,1.005925,2650820.79,,1.103567,1.005223,25758.0,1.005925,76382.88,1.0054,-4.7397614,10538,191_330_135
2060655,135,191,340,2183677.87,1,1.005925,2652244.36,,1.103567,1.005223,64037.25,1.005925,60716.8,1.005583,-1.7398596,10539,191_340_135
2060854,135,191,350,2182254.3,1,1.005925,2653667.92,,1.103567,1.005223,19676.25,1.005925,70210.96,1.005377,-11.5299225,10540,191_350_135
2061053,135,191,360,2187478.78,1,1.005223,2655091.49,,1.103567,1.00452,31946.2,1.005223,15569.28,1.004993,-9.77993,10541,191_360_135
2061252,135,191,370,2186055.22,1,1.005223,2656515.05,,1.084601,1.00452,41956.2,1.005223,367323.39,1.004592,0.6198883,10542,191_370_135
2061451,135,191,380,2161854.61,1,1.005223,2680715.66,,1.103567,1.00452,41655.9,1.005223,57268.62,1.004816,-2.3800135,10543,191_380_135
2061650,135,191,390,2161854.61,1,1.005223,2680715.66,,1.103567,1.00452,49663.9,1.005223,55565.73,1.004852,-10.539889,10544,191_390_135
2061849,135,191,400,2161854.61,1,1.005223,2680715.66,,1.103567,1.00452,90404.6,1.005223,50313.96,1.004972,-17.480255,10545,191_400_135
2062048,135,191,410,2161854.61,1,1.005223,2680715.66,,1.103567,1.00452,123823.7,1.005223,69303.33,1.004971,-9.329915,10546,191_410_135
2062247,135,191,420,2161854.61,1,1.005223,2680715.66,,1.103567,1.00452,111282.6,1.005223,84242.97,1.00492,-5.8299303,10547,191_420_135
2062446,135,191,430,2161854.61,1,1.005223,2680715.66,,1.103567,1.00452,119548.0,1.005223,97408.17,1.004907,2.9599667,10548,191_430_135
2062645,135,191,440,2161854.61,1,1.005223,2680715.66,,1.103567,1.00452,139425.0,1.005223,92256.57,1.004943,2.4199486,10549,191_440_135
2062844,135,191,450,2165797.89,1,1.005223,2680715.66,,1.085303,1.00452,140140.0,1.005223,88206.84,1.004951,23.419857,10550,191_450_135
2063043,135,191,460,2161527.19,1,1.005223,2684986.36,,1.071254,1.00452,142914.2,1.005223,71964.99,1.004987,36.829712,10551,191_460_135
2063242,135,191,470,1910979.71,1,1.005223,2935533.83,,1.031916,1.00452,158415.4,1.005223,57955.5,1.005035,52.859783,10552,191_470_135
2063441,135,191,480,1595346.83,1,1.005223,3251166.71,1.023487,1.016462,1.00452,154597.3,1.005223,54649.89,1.005039,61.45954,10553,191_480_135
2063640,135,191,490,1453986.81,1,1.005925,3381935.42,1.023487,1.016462,1.005223,156508.47,1.005925,35699.76,1.005795,18.140078,10554,191_490_135
2063839,135,191,500,1453986.81,1,1.005925,3381935.42,1.023487,1.016462,1.005223,176327.82,1.005925,30959.84,1.00582,24.830103,10555,191_500_135
2064038,135,191,510,1228422.9,1,1.008032,3606545.54,1.021379,1.016462,1.00733,143084.52,1.008032,30292.85,1.00791,6.3097477,10556,191_510_135
2064237,135,191,520,1127378.24,1,1.009437,3699518.58,1.021379,1.017164,1.008735,128794.84,1.009437,29257.32,1.009307,-4.749894,10557,191_520_135
2064436,135,191,530,1028952.94,1,1.011545,3796990.09,1.021379,1.017164,1.010842,84670.76,1.011545,27014.4,1.011375,6.170273,10558,191_530_135
2064635,135,191,540,955169.55,1,1.012247,3869819.69,1.021379,1.017164,1.011545,140198.4,1.012247,38272.96,1.012097,11.099577,10559,191_540_135
2064834,135,192,0,0.0,0,0.99926,2641750.05,,,0.998881,87672.69,1.000398,31220.73,1.0,-23.189783,10560,192_0_135
2065033,135,192,10,0.0,0,1.000398,2641750.05,,,0.999639,13180.0,1.000398,14509.0,1.000001,-11.439919,10561,192_10_135
2065232,135,192,20,0.0,0,1.001156,2641750.05,,,1.000398,21104.0,1.001156,26400.0,1.000735,-15.789866,10562,192_20_135
2065431,135,192,30,0.0,0,1.001915,2641750.05,,,1.001156,27838.8,1.001915,295441.65,1.001222,-11.019707,10563,192_30_135
2065630,135,192,40,0.0,0,0.999639,2641750.05,,,0.998881,81785.7,0.999639,18452.0,0.9995,3.3199787,10564,192_40_135
2065829,135,192,50,0.0,0,0.999639,2641750.05,,,0.998881,87053.7,0.999639,35599.18,0.999419,-2.539754,10565,192_50_135
2066028,135,192,60,0.0,0,0.999639,2641750.05,,,0.998881,94955.7,0.999639,97940.58,0.999254,-4.0000677,10566,192_60_135
2066227,135,192,70,0.0,0,0.99926,2641750.05,,,0.998881,154405.08,0.999639,102224.08,0.999337,-4.349947,10567,192_70_135
2066426,135,192,80,0.0,0,0.999639,2641750.05,,,0.998881,158474.61,0.999639,67956.08,0.999412,-7.0798397,10568,192_80_135
